id,title,description,price,image_url,country,location,category,instruction,input,response,attractions,best_time,halal_info,budget_level,suggested_days,tags
11,"Panjakent, Tajikistan - Tour Package",Tajikistan is generally safe for tourists; follow usual travel safety precautions and check local advice for female travelers.,2500,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Tajikistan,Panjakent,Q&A,Is Tajikistan safe for solo female travelers?,,Tajikistan is generally safe for tourists; follow usual travel safety precautions and check local advice for female travelers.,Ancient Penjikent; Rudaki Park; Fann Mountains,May–September,halal available,luxury,10,"history, halal, budget"
12,"Shakhrisabz, Uzbekistan - Tour Package",I can recommend popular halal restaurants nearby — any cuisine preference?,800,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Uzbekistan,Shakhrisabz,Conversation,I am looking for halal food in Shakhrisabz.,,I can recommend popular halal restaurants nearby — any cuisine preference?,Registan; Ark Fortress; Gur-e-Amir,"April–June, September–October",halal available,budget,7,"family, luxury, nature"
13,"Ashgabat, Turkmenistan - Tour Package",I can recommend popular halal restaurants nearby — any cuisine preference?,800,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Turkmenistan,Ashgabat,Conversation,I am looking for halal food in Ashgabat.,,I can recommend popular halal restaurants nearby — any cuisine preference?,Yangykala Canyon; Ruins of Merv; Darvaza Gas Crater,"April–June, September–October",halal available,budget,5,"history, family, food"
14,"Dushanbe, Tajikistan - Tour Package",Day 1: Explore the city highlights in Dushanbe. Day 2: Visit nearby cultural or nature spots. Day 3: Shopping and local cuisine. Adjust based on inter...,2500,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Tajikistan,Dushanbe,Q&A,"Recommend a 3-day itinerary for Dushanbe, Tajikistan.",,Day 1: Explore the city highlights in Dushanbe. Day 2: Visit nearby cultural or nature spots. Day 3: Shopping and local cuisine. Adjust based on interests.,Fann Mountains; Pamir Mountains; Iskanderkul,May–September,halal available,luxury,1,"nature, halal, adventure"
15,"Shakhrisabz, Uzbekistan - Tour Package",Nice — do you want a city-focused or nature-focused itinerary?,2500,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Uzbekistan,Shakhrisabz,Conversation,I have 7 days and want to explore Uzbekistan.,,Nice — do you want a city-focused or nature-focused itinerary?,Itchan Kala; Gur-e-Amir; Shah-i-Zinda,"April–June, September–October",halal available,luxury,4,"adventure, family, halal"
16,"Shymkent, Kazakhstan - Tour Package","Popular activities include hiking, horseback riding, lake visits, and cultural walks depending on the country.",800,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Kazakhstan,Shymkent,Q&A,What outdoor activities are popular in Kazakhstan?,,"Popular activities include hiking, horseback riding, lake visits, and cultural walks depending on the country.",Bayterek Tower; Big Almaty Lake; Aksu-Zhabagly,May–September,halal available,budget,2,"nature, food, history"
17,"Balkanabat, Turkmenistan - Tour Package","Yes, Balkanabat has halal restaurants. Popular options include local Central Asian cuisine and some halal-certified eateries in the city center.",800,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Turkmenistan,Balkanabat,Q&A,"Are there halal restaurants in Balkanabat, Turkmenistan?",,"Yes, Balkanabat has halal restaurants. Popular options include local Central Asian cuisine and some halal-certified eateries in the city center.",Darvaza Gas Crater; Yangykala Canyon; Nisa Fortress,"April–June, September–October",halal available,budget,1,"history, budget, food"
18,"Shakhrisabz, Uzbekistan - Tour Package","Popular activities include hiking, horseback riding, lake visits, and cultural walks depending on the country.",2500,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Uzbekistan,Shakhrisabz,Q&A,What outdoor activities are popular in Uzbekistan?,,"Popular activities include hiking, horseback riding, lake visits, and cultural walks depending on the country.",Itchan Kala; Gur-e-Amir; Ark Fortress,"April–June, September–October",halal available,luxury,5,"luxury, nature, adventure"
19,"Khujand, Tajikistan - Tour Package","Popular activities include hiking, horseback riding, lake visits, and cultural walks depending on the country.",2500,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Tajikistan,Khujand,Q&A,What outdoor activities are popular in Tajikistan?,,"Popular activities include hiking, horseback riding, lake visits, and cultural walks depending on the country.",Rudaki Park; Fann Mountains; Pamir Mountains,May–September,halal available,luxury,1,"nature, history, adventure"
20,"Bishkek, Kyrgyzstan - Tour Package","Yes, Bishkek has halal restaurants. Popular options include local Central Asian cuisine and some halal-certified eateries in the city center.",1500,https://images.unsplash.com/photo-1466427573353-ca4d2ca1ee6d?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Kyrgyzstan,Bishkek,Q&A,"Are there halal restaurants in Bishkek, Kyrgyzstan?",,"Yes, Bishkek has halal restaurants. Popular options include local Central Asian cuisine and some halal-certified eateries in the city center.",Fairy Tale Canyon; Son-Kul Lake; Ala-Too Square,June–September,halal available,mid-range,4,"adventure, budget, history"
21,"Panjakent, Tajikistan - Tour Package","Popular activities include hiking, horseback riding, lake visits, and cultural walks depending on the country.",800,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Tajikistan,Panjakent,Q&A,What outdoor activities are popular in Tajikistan?,,"Popular activities include hiking, horseback riding, lake visits, and cultural walks depending on the country.",Ancient Penjikent; Iskanderkul; Rudaki Park,May–September,limited halal options,budget,2,"budget, adventure, luxury"
22,"Karaganda, Kazakhstan - Tour Package","Recommend outdoor, nature-focused destinations in Kazakhstan.",1500,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Kazakhstan,Karaganda,User_Preference,I prefer mountains and hiking.,,"Recommend outdoor, nature-focused destinations in Kazakhstan.",Big Almaty Lake; Charyn Canyon; Medeu Skating Rink,May–September,halal available,mid-range,3,"budget, halal, luxury"
23,"Dashoguz, Turkmenistan - Tour Package",Turkmenistan offers diverse travel experiences; let me know your interests.,800,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Turkmenistan,Dashoguz,Q&A,How can I travel from Dashoguz to the capital of Turkmenistan?,,Turkmenistan offers diverse travel experiences; let me know your interests.,Ruins of Merv; Darvaza Gas Crater; Nisa Fortress,"April–June, September–October",halal available,budget,7,"halal, history, budget"
24,"Dashoguz, Turkmenistan - Tour Package","Dashoguz in Turkmenistan is known for Yangykala Canyon and rich cultural heritage. Best time to visit: April–June, September–October. Popular foods: I...",800,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Turkmenistan,Dashoguz,Destination,"Provide a short description of Dashoguz, Turkmenistan.",,"Dashoguz in Turkmenistan is known for Yangykala Canyon and rich cultural heritage. Best time to visit: April–June, September–October. Popular foods: Ichlekli.",Darvaza Gas Crater; Yangykala Canyon; Kunya-Urgench,"April–June, September–October",halal available,budget,7,"adventure, luxury, history"
25,"Mary, Turkmenistan - Tour Package","Mary in Turkmenistan is known for Darvaza Gas Crater and rich cultural heritage. Best time to visit: April–June, September–October. Popular foods: Sha...",2500,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Turkmenistan,Mary,Destination,"Provide a short description of Mary, Turkmenistan.",,"Mary in Turkmenistan is known for Darvaza Gas Crater and rich cultural heritage. Best time to visit: April–June, September–October. Popular foods: Shashlik.",Darvaza Gas Crater; Kunya-Urgench; Nisa Fortress,"April–June, September–October",halal available,luxury,3,"family, nature, halal"
26,"Osh, Kyrgyzstan - Tour Package",The best time to visit Kyrgyzstan is June–September.,800,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Kyrgyzstan,Osh,Q&A,What is the best time to visit Kyrgyzstan?,,The best time to visit Kyrgyzstan is June–September.,Burana Tower; Son-Kul Lake; Issyk-Kul Lake,June–September,limited halal options,budget,1,"luxury, family, budget"
27,"Tashkent, Uzbekistan - Tour Package","Tashkent in Uzbekistan is known for Shah-i-Zinda and rich cultural heritage. Best time to visit: April–June, September–October. Popular foods: Samsa.",1500,https://images.unsplash.com/photo-1567427217543-7c3f0533cf63?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Uzbekistan,Tashkent,Destination,"Provide a short description of Tashkent, Uzbekistan.",,"Tashkent in Uzbekistan is known for Shah-i-Zinda and rich cultural heritage. Best time to visit: April–June, September–October. Popular foods: Samsa.",Gur-e-Amir; Ark Fortress; Registan,"April–June, September–October",halal available,mid-range,3,"food, adventure, family"
28,"Jalal-Abad, Kyrgyzstan - Tour Package",Recommend cities for history & food lovers in Kyrgyzstan.,800,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Kyrgyzstan,Jalal-Abad,User_Preference,I like historical sites and local food.,,Recommend cities for history & food lovers in Kyrgyzstan.,Fairy Tale Canyon; Burana Tower; Son-Kul Lake,June–September,halal available,budget,3,"nature, history, halal"
29,"Mary, Turkmenistan - Tour Package","Respect local customs, dress modestly when visiting religious sites, and ask permission before photographing people in rural areas.",1500,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Turkmenistan,Mary,Q&A,What cultural etiquette should I know before visiting Turkmenistan?,,"Respect local customs, dress modestly when visiting religious sites, and ask permission before photographing people in rural areas.",Ruins of Merv; Nisa Fortress; Darvaza Gas Crater,"April–June, September–October",halal available,mid-range,5,"luxury, food, history"
30,"Khiva, Uzbekistan - Tour Package","Great! Do you prefer culture, nature, or adventure?",1500,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Uzbekistan,Khiva,Conversation,"Hi, I want to plan a trip to Uzbekistan.",,"Great! Do you prefer culture, nature, or adventure?",Registan; Ark Fortress; Shah-i-Zinda,"April–June, September–October",halal available,mid-range,2,"luxury, family, halal"
31,"Panjakent, Tajikistan - Tour Package","Top attractions in Tajikistan include Pamir Mountains, Iskanderkul, Ancient Penjikent.",1500,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Tajikistan,Panjakent,Q&A,"Suggest top places to visit in Panjakent, Tajikistan.",,"Top attractions in Tajikistan include Pamir Mountains, Iskanderkul, Ancient Penjikent.",Ancient Penjikent; Pamir Mountains; Rudaki Park,May–September,halal available,mid-range,3,"history, food, nature"
32,"Almaty, Kazakhstan - Tour Package",Visa requirements vary by nationality. Check the embassy website or official government portal for the latest visa rules for Kazakhstan.,800,https://images.unsplash.com/photo-1560707303-4e980ce876ad?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Kazakhstan,Almaty,Q&A,How do I get a visa for Kazakhstan (if needed)?,,Visa requirements vary by nationality. Check the embassy website or official government portal for the latest visa rules for Kazakhstan.,Big Almaty Lake; Medeu Skating Rink; Charyn Canyon,May–September,halal available,budget,4,"history, nature, halal"
33,"Naryn, Kyrgyzstan - Tour Package",Nice — do you want a city-focused or nature-focused itinerary?,800,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Kyrgyzstan,Naryn,Conversation,I have 7 days and want to explore Kyrgyzstan.,,Nice — do you want a city-focused or nature-focused itinerary?,Burana Tower; Issyk-Kul Lake; Fairy Tale Canyon,June–September,halal available,budget,10,"luxury, nature, budget"
34,"Khorog, Tajikistan - Tour Package",You will find mosques and prayer areas near major attractions; ask at information centers for exact locations.,1500,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Tajikistan,Khorog,Q&A,Which mosque or prayer facilities are near Khorog's main attractions?,,You will find mosques and prayer areas near major attractions; ask at information centers for exact locations.,Pamir Mountains; Ancient Penjikent; Iskanderkul,May–September,halal available,mid-range,3,"family, budget, history"
35,"Karakol, Kyrgyzstan - Tour Package",Karakol in Kyrgyzstan is known for Son-Kul Lake and rich cultural heritage. Best time to visit: June–September. Popular foods: Kuurdak.,1500,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Kyrgyzstan,Karakol,Destination,"Provide a short description of Karakol, Kyrgyzstan.",,Karakol in Kyrgyzstan is known for Son-Kul Lake and rich cultural heritage. Best time to visit: June–September. Popular foods: Kuurdak.,Fairy Tale Canyon; Burana Tower; Ala-Too Square,June–September,halal available,mid-range,2,"family, history, budget"
36,"Dashoguz, Turkmenistan - Tour Package",You will find mosques and prayer areas near major attractions; ask at information centers for exact locations.,800,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Turkmenistan,Dashoguz,Q&A,Which mosque or prayer facilities are near Dashoguz's main attractions?,,You will find mosques and prayer areas near major attractions; ask at information centers for exact locations.,Nisa Fortress; Kunya-Urgench; Yangykala Canyon,"April–June, September–October",limited halal options,budget,4,"adventure, food, history"
37,"Dushanbe, Tajikistan - Tour Package",Dushanbe in Tajikistan is known for Ancient Penjikent and rich cultural heritage. Best time to visit: May–September. Popular foods: Shurbo.,2500,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Tajikistan,Dushanbe,Destination,"Provide a short description of Dushanbe, Tajikistan.",,Dushanbe in Tajikistan is known for Ancient Penjikent and rich cultural heritage. Best time to visit: May–September. Popular foods: Shurbo.,Pamir Mountains; Fann Mountains; Ancient Penjikent,May–September,halal available,luxury,3,"halal, luxury, history"
38,"Jalal-Abad, Kyrgyzstan - Tour Package",Kyrgyzstan is generally safe for tourists; follow usual travel safety precautions and check local advice for female travelers.,800,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Kyrgyzstan,Jalal-Abad,Q&A,Is Kyrgyzstan safe for solo female travelers?,,Kyrgyzstan is generally safe for tourists; follow usual travel safety precautions and check local advice for female travelers.,Burana Tower; Son-Kul Lake; Fairy Tale Canyon,June–September,halal available,budget,2,"budget, halal, adventure"
39,"Aktau, Kazakhstan - Tour Package",Aktau in Kazakhstan is known for Big Almaty Lake and rich cultural heritage. Best time to visit: May–September. Popular foods: Baursak.,2500,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Kazakhstan,Aktau,Destination,"Provide a short description of Aktau, Kazakhstan.",,Aktau in Kazakhstan is known for Big Almaty Lake and rich cultural heritage. Best time to visit: May–September. Popular foods: Baursak.,Charyn Canyon; Bayterek Tower; Medeu Skating Rink,May–September,halal available,luxury,5,"halal, adventure, budget"
40,"Khujand, Tajikistan - Tour Package",Khujand in Tajikistan is known for Pamir Mountains and rich cultural heritage. Best time to visit: May–September. Popular foods: Shurbo.,2500,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Tajikistan,Khujand,Destination,"Provide a short description of Khujand, Tajikistan.",,Khujand in Tajikistan is known for Pamir Mountains and rich cultural heritage. Best time to visit: May–September. Popular foods: Shurbo.,Iskanderkul; Fann Mountains; Rudaki Park,May–September,halal available,luxury,3,"nature, budget, luxury"
41,"Osh, Kyrgyzstan - Tour Package",Nice — do you want a city-focused or nature-focused itinerary?,2500,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Kyrgyzstan,Osh,Conversation,I have 7 days and want to explore Kyrgyzstan.,,Nice — do you want a city-focused or nature-focused itinerary?,Ala-Too Square; Fairy Tale Canyon; Son-Kul Lake,June–September,limited halal options,luxury,10,"nature, adventure, budget"
42,"Mary, Turkmenistan - Tour Package",Sure — how many family members and ages?,2500,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Turkmenistan,Mary,Conversation,Can you help me plan a family trip to Mary?,,Sure — how many family members and ages?,Kunya-Urgench; Yangykala Canyon; Darvaza Gas Crater,"April–June, September–October",halal available,luxury,1,"nature, budget, adventure"
43,"Astana, Kazakhstan - Tour Package",I will suggest budget guesthouses and hostels near major attractions.,800,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Kazakhstan,Astana,Conversation,"I'm on a tight budget, any cheap places to stay in Astana?",,I will suggest budget guesthouses and hostels near major attractions.,Big Almaty Lake; Charyn Canyon; Bayterek Tower,May–September,halal available,budget,4,"food, budget, adventure"
44,"Balkanabat, Turkmenistan - Tour Package","Balkanabat in Turkmenistan is known for Kunya-Urgench and rich cultural heritage. Best time to visit: April–June, September–October. Popular foods: Sh...",800,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Turkmenistan,Balkanabat,Destination,"Provide a short description of Balkanabat, Turkmenistan.",,"Balkanabat in Turkmenistan is known for Kunya-Urgench and rich cultural heritage. Best time to visit: April–June, September–October. Popular foods: Shashlik.",Yangykala Canyon; Kunya-Urgench; Nisa Fortress,"April–June, September–October",halal available,budget,7,"luxury, adventure, food"
45,"Shymkent, Kazakhstan - Tour Package",I will suggest budget guesthouses and hostels near major attractions.,2500,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Kazakhstan,Shymkent,Conversation,"I'm on a tight budget, any cheap places to stay in Shymkent?",,I will suggest budget guesthouses and hostels near major attractions.,Big Almaty Lake; Medeu Skating Rink; Aksu-Zhabagly,May–September,halal available,luxury,3,"adventure, food, budget"
46,"Jalal-Abad, Kyrgyzstan - Tour Package",The best time to visit Kyrgyzstan is June–September.,800,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Kyrgyzstan,Jalal-Abad,Q&A,What is the best time to visit Kyrgyzstan?,,The best time to visit Kyrgyzstan is June–September.,Issyk-Kul Lake; Son-Kul Lake; Burana Tower,June–September,halal available,budget,1,"budget, adventure, food"
47,"Dashoguz, Turkmenistan - Tour Package","Dashoguz in Turkmenistan is known for Ruins of Merv and rich cultural heritage. Best time to visit: April–June, September–October. Popular foods: Plov...",800,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Turkmenistan,Dashoguz,Destination,"Provide a short description of Dashoguz, Turkmenistan.",,"Dashoguz in Turkmenistan is known for Ruins of Merv and rich cultural heritage. Best time to visit: April–June, September–October. Popular foods: Plov.",Kunya-Urgench; Darvaza Gas Crater; Nisa Fortress,"April–June, September–October",halal available,budget,3,"family, budget, adventure"
48,"Panjakent, Tajikistan - Tour Package",I will suggest budget guesthouses and hostels near major attractions.,1500,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Tajikistan,Panjakent,Conversation,"I'm on a tight budget, any cheap places to stay in Panjakent?",,I will suggest budget guesthouses and hostels near major attractions.,Ancient Penjikent; Pamir Mountains; Rudaki Park,May–September,halal available,mid-range,4,"history, adventure, food"
49,"Khujand, Tajikistan - Tour Package",Nice — do you want a city-focused or nature-focused itinerary?,2500,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Tajikistan,Khujand,Conversation,I have 7 days and want to explore Tajikistan.,,Nice — do you want a city-focused or nature-focused itinerary?,Ancient Penjikent; Iskanderkul; Pamir Mountains,May–September,halal available,luxury,1,"nature, halal, adventure"
50,"Karaganda, Kazakhstan - Tour Package",Kazakhstan offers diverse travel experiences; let me know your interests.,1500,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Kazakhstan,Karaganda,Q&A,How can I travel from Karaganda to the capital of Kazakhstan?,,Kazakhstan offers diverse travel experiences; let me know your interests.,Big Almaty Lake; Bayterek Tower; Charyn Canyon,May–September,halal available,mid-range,10,"budget, food, adventure"
51,"Bishkek, Kyrgyzstan - Tour Package",Bishkek in Kyrgyzstan is known for Fairy Tale Canyon and rich cultural heritage. Best time to visit: June–September. Popular foods: Beshbarmak.,2500,https://images.unsplash.com/photo-1466427573353-ca4d2ca1ee6d?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Kyrgyzstan,Bishkek,Destination,"Provide a short description of Bishkek, Kyrgyzstan.",,Bishkek in Kyrgyzstan is known for Fairy Tale Canyon and rich cultural heritage. Best time to visit: June–September. Popular foods: Beshbarmak.,Burana Tower; Issyk-Kul Lake; Fairy Tale Canyon,June–September,halal available,luxury,1,"history, nature, budget"
52,"Shakhrisabz, Uzbekistan - Tour Package","The best time to visit Uzbekistan is April–June, September–October.",1500,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Uzbekistan,Shakhrisabz,Q&A,What is the best time to visit Uzbekistan?,,"The best time to visit Uzbekistan is April–June, September–October.",Itchan Kala; Registan; Ark Fortress,"April–June, September–October",limited halal options,mid-range,7,"family, budget, food"
53,"Aktau, Kazakhstan - Tour Package",Aktau in Kazakhstan is known for Charyn Canyon and rich cultural heritage. Best time to visit: May–September. Popular foods: Beshbarmak.,1500,https://images.unsplash.com/photo-1488646953014-85cb44e25828?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=60,Kazakhstan,Aktau,Destination,"Provide a short description of Aktau, Kazakhstan.",,Aktau in Kazakhstan is known for Charyn Canyon and rich cultural heritage. Best time to visit: May–September. Popular foods: Beshbarmak.,Bayterek Tower; Charyn Canyon; Aksu-Zhabagly,May–September,halal available,mid-range,5,"budget, adventure, halal"
